
>>>>>> Kingdom <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteria	376047	100.00000000000003	

>>>>>> Phylum <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteroidetes	194909	50.83790808478734	Bacteria;
Firmicutes	167810	45.66420968737862	Bacteria;
Verrucomicrobia	4198	1.0861718374014164	Bacteria;
Proteobacteria	4074	1.0681908800264537	Bacteria;
Actinobacteria	3920	1.0307411529254096	Bacteria;
Cyanobacteria	1136	0.3127783574807641	Bacteria;

>>>>>> Class <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteroidia	194909	50.83790808478734	Bacteria;Bacteroidetes;
Clostridia	158035	43.01895222590702	Bacteria;Firmicutes;
Negativicutes	4660	1.2499075790297256	Bacteria;Firmicutes;
Verrucomicrobiae	4198	1.0861718374014164	Bacteria;Verrucomicrobia;
Erysipelotrichia	3822	1.047168938005429	Bacteria;Firmicutes;
Betaproteobacteria	2978	0.77815616510744	Bacteria;Proteobacteria;
Coriobacteriia	2930	0.7876595817497897	Bacteria;Actinobacteria;
Bacilli	1293	0.348180944436437	Bacteria;Firmicutes;
Vampirovibrio_c	1136	0.3127783574807641	Bacteria;Cyanobacteria;
Deltaproteobacteria	1096	0.29003471491901367	Bacteria;Proteobacteria;
Actinomycetia	990	0.24308157117562001	Bacteria;Actinobacteria;

>>>>>> Order <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteroidales	194909	50.83790808478734	Bacteria;Bacteroidetes;Bacteroidia;
Clostridiales	158035	43.01895222590702	Bacteria;Firmicutes;Clostridia;
Acidaminococcales	4660	1.2499075790297256	Bacteria;Firmicutes;Negativicutes;
Verrucomicrobiales	4198	1.0861718374014164	Bacteria;Verrucomicrobia;Verrucomicrobiae;
Erysipelotrichales	3822	1.047168938005429	Bacteria;Firmicutes;Erysipelotrichia;
Burkholderiales	2978	0.77815616510744	Bacteria;Proteobacteria;Betaproteobacteria;
Eggerthellales	2930	0.7876595817497897	Bacteria;Actinobacteria;Coriobacteriia;
Lactobacillales	1293	0.348180944436437	Bacteria;Firmicutes;Bacilli;
FR888536_o	1136	0.3127783574807641	Bacteria;Cyanobacteria;Vampirovibrio_c;
Desulfovibrionales	1096	0.29003471491901367	Bacteria;Proteobacteria;Deltaproteobacteria;
