
>>>>>> Kingdom <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteria	316327	99.99999999999996	

>>>>>> Phylum <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteroidetes	186846	57.84820815900971	Bacteria;
Firmicutes	113372	36.726587096335415	Bacteria;
Proteobacteria	14305	4.858595878069479	Bacteria;
Spirochaetes	838	0.2701118014036117	Bacteria;
Verrucomicrobia	515	0.15887300572579016	Bacteria;
Actinobacteria	451	0.13762405945599343	Bacteria;

>>>>>> Class <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteroidia	186846	57.84820815900971	Bacteria;Bacteroidetes;
Clostridia	102661	33.22530624645505	Bacteria;Firmicutes;
Gammaproteobacteria	11491	3.9812858656287418	Bacteria;Proteobacteria;
Tissierellia	4924	1.6214549316153994	Bacteria;Firmicutes;
Negativicutes	3319	1.061501285018133	Bacteria;Firmicutes;
Erysipelotrichia	2468	0.8183246332468356	Bacteria;Firmicutes;
Betaproteobacteria	2420	0.7529953286667158	Bacteria;Proteobacteria;
Spirochaetia	838	0.2701118014036117	Bacteria;Spirochaetes;
Verrucomicrobiae	515	0.15887300572579016	Bacteria;Verrucomicrobia;
Actinomycetia	451	0.13762405945599343	Bacteria;Actinobacteria;
Deltaproteobacteria	394	0.12431468377402095	Bacteria;Proteobacteria;

>>>>>> Order <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteroidales	186846	57.84820815900971	Bacteria;Bacteroidetes;Bacteroidia;
Clostridiales	102661	33.22530624645505	Bacteria;Firmicutes;Clostridia;
Enterobacterales	10162	3.5676785849502064	Bacteria;Proteobacteria;Gammaproteobacteria;
Tissierellales	4924	1.6214549316153994	Bacteria;Firmicutes;Tissierellia;
Acidaminococcales	2804	0.8982028473779753	Bacteria;Firmicutes;Negativicutes;
Erysipelotrichales	2468	0.8183246332468356	Bacteria;Firmicutes;Erysipelotrichia;
Burkholderiales	2420	0.7529953286667158	Bacteria;Proteobacteria;Betaproteobacteria;
Aeromonadales	1329	0.4136072806785353	Bacteria;Proteobacteria;Gammaproteobacteria;
Brachyspirales	838	0.2701118014036117	Bacteria;Spirochaetes;Spirochaetia;
Veillonellales	515	0.16329843764015756	Bacteria;Firmicutes;Negativicutes;
Verrucomicrobiales	515	0.15887300572579016	Bacteria;Verrucomicrobia;Verrucomicrobiae;
Mycobacteriales	451	0.13762405945599343	Bacteria;Actinobacteria;Actinomycetia;
Desulfovibrionales	394	0.12431468377402095	Bacteria;Proteobacteria;Deltaproteobacteria;

>>>>>> Family <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Prevotellaceae	128993	39.975481852646666	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Oscillospiraceae	52619	17.132611977163496	Bacteria;Firmicutes;Clostridia;Clostridiales;
Lachnospiraceae	49057	15.775703023874302	Bacteria;Firmicutes;Clostridia;Clostridiales;
Bacteroidaceae	42405	13.042249071686706	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Enterobacteriaceae	10162	3.5676785849502064	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;
Rikenellaceae	7564	2.3710470076789374	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Porphyromonadaceae	5037	1.5746946020744133	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Peptoniphilaceae	4924	1.6214549316153994	Bacteria;Firmicutes;Tissierellia;Tissierellales;
Acidaminococcaceae	2804	0.8982028473779753	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;
Erysipelotrichaceae	2468	0.8183246332468356	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;
Sutterellaceae	2420	0.7529953286667158	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;
AC160630_f	1747	0.5429724789542352	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Succinivibrionaceae	1329	0.4136072806785353	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;
Brachyspiraceae	838	0.2701118014036117	Bacteria;Spirochaetes;Spirochaetia;Brachyspirales;
Odoribacteraceae	771	0.24004428196048364	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Christensenellaceae	609	0.19729995585818705	Bacteria;Firmicutes;Clostridia;Clostridiales;
Akkermansiaceae	515	0.15887300572579016	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;
Veillonellaceae	515	0.16329843764015756	Bacteria;Firmicutes;Negativicutes;Veillonellales;
Corynebacteriaceae	451	0.13762405945599343	Bacteria;Actinobacteria;Actinomycetia;Mycobacteriales;
Desulfovibrionaceae	394	0.12431468377402095	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;
Mogibacterium_f	376	0.11969128955906644	Bacteria;Firmicutes;Clostridia;Clostridiales;
Barnesiellaceae	329	0.10171886400824558	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;

>>>>>> Genus <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Prevotella	121318	37.672505940937185	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;
Bacteroides	42405	13.042249071686706	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;
Faecalibacterium	22856	7.507447899836912	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Klebsiella	9432	3.3362384609550153	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;
Pseudoflavonifractor	7765	2.4878339550468027	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Alloprevotella	7675	2.302975911709478	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;
Alistipes	7564	2.3710470076789374	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;
Oscillibacter	7428	2.381157383749204	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Blautia	7374	2.3656882259255863	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
AP018536_g	6136	1.9458939462316467	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Butyrivibrio_g1	5016	1.602361190750504	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Roseburia	4615	1.486529954745039	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Eubacterium_g24	3326	1.0624906938668612	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Lachnospira	3239	1.0330726795566776	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Agathobacter	3174	1.0284351595035994	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Phascolarctobacterium	2804	0.8982028473779753	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;
Pseudoruminococcus	2791	0.9023939067757657	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Porphyromonas	2702	0.8564326778962496	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;
Fusicatenibacter	2631	0.8420579275582863	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Subdoligranulum	2630	0.8448783086710396	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Dysosmobacter	2465	0.8537073631708879	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Parabacteroides	2335	0.7182619241781638	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;
Dorea	2214	0.7077732981521191	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Peptoniphilus	1854	0.6060256364138945	Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;
Eubacterium_g8	1410	0.44945544561782935	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Ruminococcus	1393	0.44625272325034404	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Mediterraneibacter	1376	0.48261701174588434	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Finegoldia	1353	0.4353896322990364	Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;
Succinivibrio	1329	0.4136072806785353	Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;
Anaerococcus	1327	0.4478829690454235	Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;
Duodenibacillus	1315	0.4097557272047554	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;
Anaerostipes	1211	0.39120513423600417	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
QUHQ_g	1201	0.38291321505767606	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Agathobaculum	1193	0.3896819897668714	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
