
>>>>>> Kingdom <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteria	1041930	99.99999999999994	

>>>>>> Phylum <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Firmicutes	767900	74.42587321878032	Bacteria;
Bacteroidetes	253068	23.65469140214712	Bacteria;
Actinobacteria	18352	1.6767622783206457	Bacteria;
Verrucomicrobia	2188	0.20268966862326745	Bacteria;
Proteobacteria	422	0.039983432128618504	Bacteria;

>>>>>> Class <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Clostridia	730243	70.78469295845572	Bacteria;Firmicutes;
Bacteroidia	253068	23.65469140214712	Bacteria;Bacteroidetes;
Negativicutes	21665	2.0776728800785946	Bacteria;Firmicutes;
Coriobacteriia	13009	1.1981838831386198	Bacteria;Actinobacteria;
Bacilli	11430	1.1138082053112244	Bacteria;Firmicutes;
Actinomycetia	5343	0.47857839518202594	Bacteria;Actinobacteria;
Erysipelotrichia	4167	0.4095050048419806	Bacteria;Firmicutes;
Verrucomicrobiae	2188	0.20268966862326745	Bacteria;Verrucomicrobia;
Deltaproteobacteria	422	0.039983432128618504	Bacteria;Proteobacteria;
Tissierellia	395	0.040194170092797354	Bacteria;Firmicutes;

>>>>>> Order <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Clostridiales	730243	70.78469295845572	Bacteria;Firmicutes;Clostridia;
Bacteroidales	253068	23.65469140214712	Bacteria;Bacteroidetes;Bacteroidia;
Acidaminococcales	18133	1.741365105290241	Bacteria;Firmicutes;Negativicutes;
Coriobacteriales	9004	0.8188089691313077	Bacteria;Actinobacteria;Coriobacteriia;
Lactobacillales	7897	0.762676796153742	Bacteria;Firmicutes;Bacilli;
Bifidobacteriales	4806	0.4287434095203886	Bacteria;Actinobacteria;Actinomycetia;
Erysipelotrichales	4167	0.4095050048419806	Bacteria;Firmicutes;Erysipelotrichia;
Eggerthellales	4005	0.379374914007312	Bacteria;Actinobacteria;Coriobacteriia;
Bacillales	3533	0.3511314091574824	Bacteria;Firmicutes;Bacilli;
Veillonellales	3532	0.33630777478835366	Bacteria;Firmicutes;Negativicutes;
Verrucomicrobiales	2188	0.20268966862326745	Bacteria;Verrucomicrobia;Verrucomicrobiae;
Mycobacteriales	537	0.04983498566163735	Bacteria;Actinobacteria;Actinomycetia;
Desulfovibrionales	422	0.039983432128618504	Bacteria;Proteobacteria;Deltaproteobacteria;
