
>>>>>> Kingdom <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteria	1595183	100.00000000000007	

>>>>>> Phylum <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteroidetes	1015249	62.852353096375424	Bacteria;
Firmicutes	471204	30.410764739344256	Bacteria;
Proteobacteria	67542	4.243180507980599	Bacteria;
Actinobacteria	28715	1.7264363200269566	Bacteria;
Verrucomicrobia	12473	0.767265336272824	Bacteria;

>>>>>> Class <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteroidia	1015249	62.852353096375424	Bacteria;Bacteroidetes;
Clostridia	424798	27.406272640673013	Bacteria;Firmicutes;
Gammaproteobacteria	43847	2.7704946419501333	Bacteria;Proteobacteria;
Negativicutes	24829	1.5722617254885942	Bacteria;Firmicutes;
Betaproteobacteria	18341	1.1407743313325465	Bacteria;Proteobacteria;
Actinomycetia	18207	1.0921002347418727	Bacteria;Actinobacteria;
Tissierellia	16056	1.070344793561233	Bacteria;Firmicutes;
Verrucomicrobiae	12473	0.767265336272824	Bacteria;Verrucomicrobia;
Coriobacteriia	10508	0.6343360852850843	Bacteria;Actinobacteria;
Deltaproteobacteria	4688	0.2922093437036229	Bacteria;Proteobacteria;
Erysipelotrichia	4313	0.2845477535395679	Bacteria;Firmicutes;
Bacilli	1208	0.0773378260818452	Bacteria;Firmicutes;
Alphaproteobacteria	666	0.039702190994296026	Bacteria;Proteobacteria;

>>>>>> Order <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Bacteroidales	1015249	62.852353096375424	Bacteria;Bacteroidetes;Bacteroidia;
Clostridiales	424798	27.406272640673013	Bacteria;Firmicutes;Clostridia;
Enterobacterales	34889	2.2127473645127607	Bacteria;Proteobacteria;Gammaproteobacteria;
Veillonellales	20923	1.3230286243006768	Bacteria;Firmicutes;Negativicutes;
Burkholderiales	18341	1.1407743313325465	Bacteria;Proteobacteria;Betaproteobacteria;
Tissierellales	16056	1.070344793561233	Bacteria;Firmicutes;Tissierellia;
Verrucomicrobiales	12473	0.767265336272824	Bacteria;Verrucomicrobia;Verrucomicrobiae;
Mycobacteriales	11469	0.6897938276169118	Bacteria;Actinobacteria;Actinomycetia;
Pseudomonadales	8958	0.557747277437373	Bacteria;Proteobacteria;Gammaproteobacteria;
Coriobacteriales	8723	0.5267003463490783	Bacteria;Actinobacteria;Coriobacteriia;
Bifidobacteriales	5916	0.350677085925899	Bacteria;Actinobacteria;Actinomycetia;
Desulfovibrionales	4688	0.2922093437036229	Bacteria;Proteobacteria;Deltaproteobacteria;
Erysipelotrichales	4313	0.2845477535395679	Bacteria;Firmicutes;Erysipelotrichia;
Acidaminococcales	3906	0.24923310118791742	Bacteria;Firmicutes;Negativicutes;
Eggerthellales	1785	0.10763573893600595	Bacteria;Actinobacteria;Coriobacteriia;
Lactobacillales	1208	0.0773378260818452	Bacteria;Firmicutes;Bacilli;
Brevibacteriales	822	0.051629321199061586	Bacteria;Actinobacteria;Actinomycetia;
Caulobacterales	666	0.039702190994296026	Bacteria;Proteobacteria;Alphaproteobacteria;

>>>>>> Family <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Prevotellaceae	581767	36.1337926404263	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Bacteroidaceae	276587	16.950285508857533	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Lachnospiraceae	220822	14.19242531495594	Bacteria;Firmicutes;Clostridia;Clostridiales;
Oscillospiraceae	196951	12.755332536607664	Bacteria;Firmicutes;Clostridia;Clostridiales;
Rikenellaceae	90801	5.671681761245466	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Porphyromonadaceae	42180	2.6190098172075653	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Enterobacteriaceae	34889	2.2127473645127607	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;
Veillonellaceae	20923	1.3230286243006768	Bacteria;Firmicutes;Negativicutes;Veillonellales;
Sutterellaceae	18341	1.1407743313325465	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;
Peptoniphilaceae	16056	1.070344793561233	Bacteria;Firmicutes;Tissierellia;Tissierellales;
Barnesiellaceae	12968	0.7974512639089046	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Akkermansiaceae	12473	0.767265336272824	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;
Odoribacteraceae	10946	0.6801321047296528	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;
Corynebacteriaceae	10758	0.6472769697003627	Bacteria;Actinobacteria;Actinomycetia;Mycobacteriales;
Pseudomonadaceae	8958	0.557747277437373	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;
Coriobacteriaceae	8723	0.5267003463490783	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;
Bifidobacteriaceae	5916	0.350677085925899	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;
Desulfovibrionaceae	4688	0.2922093437036229	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;
Erysipelotrichaceae	4313	0.2845477535395679	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;
Acidaminococcaceae	3906	0.24923310118791742	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;
Peptostreptococcaceae	2969	0.19567935174930176	Bacteria;Firmicutes;Clostridia;Clostridiales;
Eggerthellaceae	1785	0.10763573893600595	Bacteria;Actinobacteria;Coriobacteriia;Eggerthellales;
Clostridiaceae	1654	0.10805445735154197	Bacteria;Firmicutes;Clostridia;Clostridiales;
Christensenellaceae	1508	0.09757983462452241	Bacteria;Firmicutes;Clostridia;Clostridiales;
Streptococcaceae	1208	0.0773378260818452	Bacteria;Firmicutes;Bacilli;Lactobacillales;
Mogibacterium_f	894	0.05720114538404292	Bacteria;Firmicutes;Clostridia;Clostridiales;
Brevibacteriaceae	822	0.051629321199061586	Bacteria;Actinobacteria;Actinomycetia;Brevibacteriales;
Lawsonellaceae	711	0.04251685791654908	Bacteria;Actinobacteria;Actinomycetia;Mycobacteriales;
Caulobacteraceae	666	0.039702190994296026	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;

>>>>>> Genus <<<<<<
[Taxon Name]	[Core Gene Reads]	[Abundance]	[Taxonomy]
Prevotella	579178	35.97492642142938	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;
Bacteroides	276587	16.950285508857533	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;
Alistipes	90801	5.671681761245466	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;
Faecalibacterium	65643	4.302797217752707	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Agathobacter	54241	3.5045273487268433	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Ruminococcus	49061	3.139355850397195	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
AP018536_g	45313	2.86542077118827	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Escherichia	34230	2.1519738197220386	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;
Parabacteroides	32311	1.9967317943208374	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;
Blautia	25157	1.607768595776825	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Oscillibacter	22879	1.4696159878190704	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Dialister	20527	1.2978725748521684	Bacteria;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;
Pseudoflavonifractor	17007	1.085932748114035	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Lachnospira	14236	0.9050154947346944	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Barnesiella	12968	0.7974512639089046	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;
Ruminococcus_g2	12827	0.8291304901671068	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Akkermansia	12473	0.767265336272824	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;
Fusicatenibacter	11697	0.7464958252763038	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Sutterella	11390	0.7089368005559685	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;
Subdoligranulum	11332	0.7255801056989344	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Corynebacterium	10758	0.6472769697003627	Bacteria;Actinobacteria;Actinomycetia;Mycobacteriales;Corynebacteriaceae;
Mediterraneibacter	10027	0.6994094830796368	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Porphyromonas	9869	0.622278022886728	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;
Pseudomonas	8958	0.557747277437373	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;
Collinsella	8723	0.5267003463490783	Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;
Roseburia	8180	0.5258439043824256	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Anaerostipes	7795	0.5021208957299149	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Dorea	7359	0.4690033668133565	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Odoribacter	7174	0.4453794063839295	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;
Enterocloster	6698	0.42437755391055704	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Parasutterella	6201	0.3851401945800158	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;
Dysosmobacter	5957	0.41138786446645825	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;
Bifidobacterium	5916	0.350677085925899	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;
QUHQ_g	4497	0.2856746812527198	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Eisenbergiella	4107	0.25896313023449014	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Ezakiella	3936	0.2606764675145398	Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;
Phascolarctobacterium	3906	0.24923310118791742	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;
Eubacterium_g4	3894	0.25161998609679026	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Anaerococcus	3599	0.23866340955743384	Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;
HM124219_g	3290	0.20839393584370677	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
Butyricimonas	3271	0.20359327466818467	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;
Peptoniphilus	3074	0.2119339646732919	Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;
Romboutsia	2969	0.19567935174930176	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;
Fenollaria	2839	0.19183229544230113	Bacteria;Firmicutes;Tissierellia;Tissierellales;Peptoniphilaceae;
Bilophila	2742	0.17251443128578497	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;
Faecalibacillus	2710	0.17695929308589836	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;
Coprococcus_g2	2616	0.18561909500981943	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;
